zipcode,numPeople
91106,1
92509,1
97224,1
91790,1
92607,1
95610,1
97292,1
93103,1
97325,1
93109,1
97401,1
93110,1
92019,1
91792,1
97455,1
95642,1
97479,1
95667,1
97520,1
95672,1
92021,1
95682,1
97703,1
95683,1
97756,1
93117,1
97838,1
95695,1
91381,1
91902,1
92026,1
95757,1
94028,1
92553,1
98019,1
92555,1
91401,1
92562,1
98026,1
95841,1
98028,1
95843,1
98030,1
95901,1
92029,1
95925,1
94085,1
91932,1
94087,1
95945,1
98040,1
95949,1
98043,1
93311,1
98047,1
92586,1
94114,1
93313,1
92057,1
96019,1
98068,1
96051,1
92065,1
96107,1
98075,1
93401,1
98086,1
91941,1
91504,1
96720,1
94303,1
96722,1
92078,1
93426,1
94505,1
96756,1
91602,1
96789,1
94510,1
93444,1
92084,1
92003,1
94517,1
97007,1
94518,1
93455,1
98178,1
97009,1
94534,1
97022,1
98223,1
97031,1
94546,1
97032,1
92665,1
97035,1
98260,1
97038,1
90802,1
93514,1
92111,1
93534,1
92114,1
97068,1
94560,1
97070,1
94565,1
97086,1
94568,1
97111,1
94578,1
97115,1
98373,1
97123,1
98383,1
97124,1
98392,1
97128,1
91711,1
93543,1
98467,1
93546,1
94598,1
92007,1
98506,1
91362,1
98528,1
97210,1
94619,1
97211,1
76065,1
33487,1
80301,1
29205,1
32257,1
34683,1
78641,1
34689,1
83716,1
34702,1
90012,1
29369,1
75098,1
34787,1
77077,1
36605,1
80108,1
37034,1
81303,1
37064,1
33414,1
37067,1
87544,1
37069,1
90242,1
37075,1
32570,1
37087,1
75248,1
37122,1
27523,1
37129,1
77505,1
27539,1
79735,1
27302,1
80123,1
37343,1
33141,1
37363,1
83002,1
37919,1
33312,1
37932,1
85251,1
27587,1
85710,1
38119,1
89439,1
38133,1
33647,1
29605,1
29063,1
38654,1
75025,1
27596,1
75070,1
39047,1
75218,1
39429,1
75789,1
29673,1
32746,1
40223,1
76308,1
40503,1
77401,1
41018,1
32803,1
42366,1
78738,1
42437,1
80014,1
42701,1
80113,1
29680,1
33026,1
43017,1
80501,1
29681,1
80909,1
44022,1
82637,1
44060,1
83616,1
44072,1
84081,1
44077,1
85045,1
44122,1
33433,1
44129,1
85260,1
44140,1
85377,1
44319,1
86406,1
44833,1
89129,1
45040,1
89511,1
45069,1
33596,1
45150,1
33778,1
45213,1
33908,1
45215,1
34219,1
45226,1
75013,1
45238,1
75032,1
45242,1
75068,1
27407,1
75074,1
45429,1
75205,1
45701,1
75229,1
27310,1
75287,1
46142,1
76039,1
46168,1
32703,1
29907,1
76226,1
46229,1
76266,1
46259,1
77027,1
47167,1
77375,1
47401,1
77450,1
47404,1
77659,1
47712,1
78613,1
27312,1
78665,1
30004,1
78746,1
48025,1
79902,1
48042,1
32835,1
48047,1
32903,1
48070,1
80120,1
48084,1
80129,1
48085,1
80162,1
48103,1
80305,1
48104,1
33134,1
48105,1
80602,1
48111,1
80926,1
48134,1
81623,1
30011,1
82718,1
48167,1
83442,1
